District,Soil_Type,Season,Crop_Name,Avg_Temperature_C,Total_Rainfall_mm,Avg_Humidity_Percent,Sunlight_Hours_Per_Day,Yield_kg_per_hectare,Avg_Market_Price_LKR_per_kg
Ratnapura,Red-Yellow Podzolic Soils,Maha,Banana,27.7,5066,94,4.7,19906,157.1
Matale,Reddish Brown Earths,Maha,Paddy,24.6,2017,69,6.8,5819,128.79
Ampara,Alluvial Soils,Maha,Big Onion,29.5,2028,72,7.3,23366,242.59
Nuwara Eliya,Red-Yellow Podzolic Soils,Yala,Cabbage,15.7,1983,82,5.2,58041,163.6
Ratnapura,Red-Yellow Podzolic Soils,Maha,Cabbage,27.4,4703,94,5.0,34742,142.0
Kilinochchi,Reddish Brown Earths,Maha,Pumpkin,27.5,1354,79,7.1,29899,92.21
Mullaitivu,Latosols,Yala,Sweet Potato,26.6,1436,78,7.5,16041,107.8
Kurunegala,Alluvial Soils,Yala,Pumpkin,31.8,1213,78,6.3,20848,96.22
Trincomalee,Alluvial Soils,Yala,Maize,33.0,1325,65,7.4,3969,138.49
Colombo,Red-Yellow Podzolic Soils,Maha,Beans,27.4,2501,77,5.7,24313,260.39
Kandy,Reddish Brown Earths,Yala,Coconut,23.7,1477,83,5.6,8724,101.74
Ratnapura,Red-Yellow Podzolic Soils,Maha,Paddy,24.3,3711,85,5.0,4749,119.86
Ratnapura,Red-Yellow Podzolic Soils,Maha,Coconut,28.6,4119,90,5.6,14976,96.25
Anuradhapura,Alluvial Soils,Yala,Manioc,27.1,1035,64,8.0,27079,81.83
Matara,Alluvial Soils,Maha,Manioc,29.4,2744,78,6.0,25629,91.45
Monaragala,Reddish Brown Earths,Yala,Pumpkin,33.9,1192,77,7.5,21847,91.56
Colombo,Latosols,Maha,Beans,26.5,2887,81,7.0,21984,269.34
Anuradhapura,Reddish Brown Earths,Maha,Banana,30.6,1869,62,7.6,18811,160.65
Ampara,Alluvial Soils,Yala,Manioc,28.2,1348,79,8.2,25507,93.32
Matale,Reddish Brown Earths,Maha,Papaya,25.3,1902,77,7.1,41885,119.62
Batticaloa,Regosols,Yala,Potato,31.9,1238,72,7.8,18575,201.37
Vavuniya,Reddish Brown Earths,Yala,Chili,31.1,1042,75,7.3,8785,421.33
Polonnaruwa,Alluvial Soils,Yala,Maize,30.5,1344,65,7.7,6159,139.83
Matara,Red-Yellow Podzolic Soils,Yala,Big Onion,28.7,1895,87,6.2,17991,234.01
Monaragala,Reddish Brown Earths,Maha,Cabbage,31.3,1613,78,7.3,37313,159.22
Matale,Reddish Brown Earths,Yala,Brinjal,25.5,1303,77,6.0,20314,162.75
Puttalam,Regosols,Maha,Banana,31.0,1458,80,7.2,18865,163.96
Anuradhapura,Reddish Brown Earths,Maha,Cabbage,33.0,1555,70,8.2,9735,168.01
Nuwara Eliya,Latosols,Yala,Manioc,17.4,1636,76,5.4,18825,97.33
Galle,Red-Yellow Podzolic Soils,Yala,Banana,29.6,2073,81,5.6,17617,156.44
Kalutara,Red-Yellow Podzolic Soils,Yala,Maize,30.7,2072,82,5.4,4367,139.37
